,Pairlocation,First use,Last use,Online time
14,37.445499x-122.138847,2017-12-21 10:23:00,2017-12-31 17:08:00,10 days 06:45:00
17,37.445496x-122.138863,2017-12-21 09:26:00,2017-12-31 17:08:00,10 days 07:42:00
15,37.445492x-122.139,2017-12-21 09:14:00,2017-12-31 17:33:00,10 days 08:19:00
12,37.422119x-122.112556,2017-12-21 09:47:00,2017-12-31 20:54:00,10 days 11:07:00
43,37.443211x-122.163078,2015-07-29 19:07:00,2015-08-21 10:53:00,22 days 15:46:00
40,37.443344x-122.163231,2017-06-13 12:22:00,2017-07-26 14:55:00,43 days 02:33:00
31,37.443146x-122.163017,2011-10-10 15:23:00,2011-12-21 12:26:00,71 days 21:03:00
9,37.422169x-122.11248,2016-01-14 11:19:00,2016-05-02 13:14:00,109 days 01:55:00
8,37.422138x-122.113457,2016-01-14 13:45:00,2016-05-03 05:28:00,109 days 15:43:00
24,37.444359x-122.159904,2017-08-23 10:02:00,2017-12-31 18:53:00,130 days 08:51:00
39,37.444706x-122.160324,2017-07-26 19:10:00,2017-12-31 16:12:00,157 days 21:02:00
37,37.44669x-122.162231,2017-07-05 14:57:00,2017-12-31 11:43:00,178 days 20:46:00
35,37.446667x-122.16217,2017-07-05 14:55:00,2017-12-31 16:55:00,179 days 02:00:00
36,37.446785x-122.162369,2017-07-05 15:12:00,2017-12-31 20:20:00,179 days 05:08:00
26,37.446583x-122.162109,2015-01-02 17:08:00,2015-07-28 20:20:00,207 days 03:12:00
25,37.427349x-122.145676,2015-01-02 08:43:00,2015-07-28 14:12:00,207 days 05:29:00
29,37.426155x-122.146065,2015-01-02 10:01:00,2015-07-28 23:11:00,207 days 13:10:00
16,37.445499x-122.138893,2017-05-04 16:03:00,2017-12-20 19:09:00,230 days 03:06:00
22,37.448284x-122.158272,2011-07-29 20:17:00,2012-04-10 12:52:00,255 days 16:35:00
11,37.422123x-122.113487,2017-01-06 18:40:00,2017-12-20 20:08:00,348 days 01:28:00
13,37.445492x-122.138931,2017-01-06 14:53:00,2017-12-20 21:06:00,348 days 06:13:00
20,37.443558x-122.162849,2016-01-12 18:44:00,2017-08-23 06:30:00,588 days 11:46:00
7,37.422104x-122.11351,2016-05-03 06:58:00,2017-12-31 19:58:00,607 days 13:00:00
6,37.444489x-122.16037,2016-05-02 15:43:00,2017-12-31 18:22:00,608 days 02:39:00
42,37.443138x-122.163239,2015-07-29 13:59:00,2017-06-13 10:17:00,684 days 20:18:00
33,37.443378x-122.163048,2016-01-14 11:57:00,2017-12-27 13:31:00,713 days 01:34:00
10,37.422146x-122.112511,2016-01-15 05:40:00,2017-12-31 09:24:00,716 days 03:44:00
41,37.443443x-122.163139,2015-08-21 12:43:00,2017-12-31 18:19:00,863 days 05:36:00
38,37.448273x-122.158234,2015-08-21 13:04:00,2017-12-31 21:00:00,863 days 07:56:00
18,37.445496x-122.138924,2015-07-29 15:51:00,2017-12-20 20:20:00,875 days 04:29:00
28,37.428318x-122.144188,2015-07-29 13:55:00,2017-12-30 17:09:00,885 days 03:14:00
27,37.42733x-122.145699,2015-07-29 10:01:00,2017-12-30 15:45:00,885 days 05:44:00
30,37.426182x-122.146065,2015-07-28 20:54:00,2017-12-31 12:26:00,886 days 15:32:00
1,37.444607x-122.160263,2014-10-05 09:50:00,2017-12-27 08:48:00,1178 days 22:58:00
2,37.443676x-122.16288,2014-09-28 10:45:00,2017-12-31 10:00:00,1189 days 23:15:00
4,37.44651x-122.16214,2014-09-24 08:53:00,2017-12-28 12:09:00,1191 days 03:16:00
3,37.446373x-122.162331,2014-09-24 08:36:00,2017-12-31 13:32:00,1194 days 04:56:00
0,37.444572x-122.160309,2014-09-24 08:26:00,2017-12-31 16:25:00,1194 days 07:59:00
5,37.446613x-122.162308,2014-09-24 08:42:00,2017-12-31 23:35:00,1194 days 14:53:00
23,37.448238x-122.158203,2011-08-02 19:03:00,2016-01-12 11:17:00,1623 days 16:14:00
19,37.449348x-122.157768,2011-09-04 17:43:00,2017-05-03 14:18:00,2067 days 20:35:00
21,37.449375x-122.157799,2012-04-11 08:36:00,2017-12-31 15:49:00,2090 days 07:13:00
32,37.443127x-122.163033,2011-12-22 10:03:00,2017-12-30 17:00:00,2200 days 06:57:00
34,37.448284x-122.158218,2011-12-22 18:02:00,2017-12-31 12:15:00,2200 days 18:13:00
